"","airport_id","name","city","country","iata","icao","latitude","longitude","altitude","timezone","dst","database_timezone","type","source"
"GXG",955,"Negage Airport","Negage","Angola","GXG","FNNG",-7.75450992584229,15.2876996994019,4105,"1","N","Africa/Luanda","airport","OurAirports"
"PBN",956,"Porto Amboim Airport","Porto Amboim","Angola","PBN","FNPA",-10.7220001220703,13.7655000686646,16,"1","N","Africa/Luanda","airport","OurAirports"
"VHC",957,"Saurimo Airport","Saurimo","Angola","VHC","FNSA",-9.6890697479248,20.4319000244141,3584,"1","N","Africa/Luanda","airport","OurAirports"
"SZA",958,"Soyo Airport","Soyo","Angola","SZA","FNSO",-6.14108991622925,12.3718004226685,15,"1","N","Africa/Luanda","airport","OurAirports"
"SDD",959,"Lubango Airport","Lubango","Angola","SDD","FNUB",-14.9246997833252,13.5749998092651,5778,"1","N","Africa/Luanda","airport","OurAirports"
"LUO",960,"Luena Airport","Luena","Angola","LUO","FNUE",-11.7680997848511,19.8976993560791,4360,"1","N","Africa/Luanda","airport","OurAirports"
"UGO",961,"Uige Airport","Uige","Angola","UGO","FNUG",-7.60306978225708,15.0277996063232,2720,"1","N","Africa/Luanda","airport","OurAirports"
"XGN",962,"Xangongo Airport","Xangongo","Angola","XGN","FNXA",-16.7553997039795,14.9652996063232,3635,"1","N","Africa/Luanda","airport","OurAirports"
"OYE",963,"Oyem Airport","Oyem","Gabon","OYE","FOGO",1.54311001300812,11.5813999176025,2158,"1","N","Africa/Libreville","airport","OurAirports"
"OKN",964,"Okondja Airport","Okondja","Gabon","OKN","FOGQ",-0.665214002132416,13.6731004714966,1325,"1","N","Africa/Libreville","airport","OurAirports"
"LBQ",965,"Lambarene Airport","Lambarene","Gabon","LBQ","FOGR",-0.704388976097107,10.2456998825073,82,"1","N","Africa/Libreville","airport","OurAirports"
"BMM",966,"Bitam Airport","Bitam","Gabon","BMM","FOOB",2.07563996315002,11.493200302124,1969,"1","N","Africa/Libreville","airport","OurAirports"
"POG",967,"Port Gentil Airport","Port Gentil","Gabon","POG","FOOG",-0.711739003658295,8.75438022613525,13,"1","N","Africa/Libreville","airport","OurAirports"
"OMB",968,"Omboue Hopital Airport","Omboue Hospial","Gabon","OMB","FOOH",-1.57473003864288,9.2626895904541,33,"1","N","Africa/Libreville","airport","OurAirports"
"MKU",969,"Makokou Airport","Makokou","Gabon","MKU","FOOK",0.579210996627808,12.8908996582031,1726,"1","N","Africa/Libreville","airport","OurAirports"
"LBV",970,"Libreville Leon M'ba International Airport","Libreville","Gabon","LBV","FOOL",0.458600014448,9.4122800827,39,"1","N","Africa/Libreville","airport","OurAirports"
